account_id,account_name,territory,segment,industry,product_motion,pipeline_stage,estimated_acv,open_pipeline,workload_fit_score,data_completeness_pct,customer_health_score,forecast_category,rep_capacity_load_pct,ai_assist_eligible
ACCT0201,Account 0201,Expansion Portfolio,Customer Growth,SaaS,Self-Hosted,Target,580180,0,82,76,83,Pipeline,113,Yes
ACCT0202,Account 0202,Expansion Portfolio,Customer Growth,Cybersecurity,Self-Hosted,Stage 3,259105,318058,52,61,52,Pipeline,100,Watch
ACCT0203,Account 0203,Expansion Portfolio,Customer Growth,Gaming,Cloud Advanced,Target,555383,0,68,80,67,Best Case,68,Yes
ACCT0204,Account 0204,Expansion Portfolio,Customer Growth,Fintech,Cloud Advanced,Engaged,327616,284716,65,86,57,Renewal Risk,117,Yes
ACCT0205,Account 0205,Expansion Portfolio,Customer Growth,Healthcare,Cloud Standard,Stage 2,240775,376897,58,78,78,Best Case,94,Watch
ACCT0206,Account 0206,Expansion Portfolio,Customer Growth,Cybersecurity,Cloud Standard,Stage 1,570917,1047221,79,59,47,Pipeline,84,Watch
ACCT0207,Account 0207,Expansion Portfolio,Customer Growth,Cybersecurity,Cloud Advanced,Target,253042,0,86,99,85,Best Case,116,Yes
ACCT0208,Account 0208,Expansion Portfolio,Customer Growth,Logistics,Cloud Advanced,Target,195564,0,64,81,90,Pipeline,65,Yes
ACCT0209,Account 0209,Expansion Portfolio,Customer Growth,Cybersecurity,BYOC Evaluation,Stage 2,221065,257236,83,76,46,Pipeline,101,Yes
ACCT0210,Account 0210,Expansion Portfolio,Customer Growth,Media,BYOC Evaluation,Stage 3,188349,311506,54,83,65,Renewal Risk,110,Watch
ACCT0211,Account 0211,Expansion Portfolio,Customer Growth,Fintech,Cloud Basic,Target,391145,0,73,90,44,Pipeline,83,Yes
ACCT0212,Account 0212,Expansion Portfolio,Customer Growth,Media,Cloud Standard,Commit,351221,304768,57,96,74,Best Case,101,Watch
ACCT0213,Account 0213,Expansion Portfolio,Customer Growth,SaaS,Self-Hosted,Stage 3,259788,347806,69,90,74,Closed,85,Yes
ACCT0214,Account 0214,Expansion Portfolio,Customer Growth,Fintech,BYOC Evaluation,Engaged,183731,304277,74,95,61,Best Case,103,Yes
ACCT0215,Account 0215,Expansion Portfolio,Customer Growth,Cybersecurity,Cloud Standard,Stage 3,491209,374117,84,72,88,Best Case,108,Yes
ACCT0216,Account 0216,Expansion Portfolio,Customer Growth,Retail,Cloud Standard,Stage 2,538622,747114,57,73,44,Pipeline,82,Watch
ACCT0217,Account 0217,Expansion Portfolio,Customer Growth,Cybersecurity,Cloud Basic,Stage 1,304884,496951,61,84,74,Commit,95,Watch
ACCT0218,Account 0218,Expansion Portfolio,Customer Growth,Gaming,Self-Hosted,Engaged,269683,310726,90,88,75,Renewal Risk,83,Yes
ACCT0219,Account 0219,Expansion Portfolio,Customer Growth,Cybersecurity,Cloud Standard,Stage 2,430041,658813,94,99,93,Renewal Risk,79,Yes
ACCT0220,Account 0220,Expansion Portfolio,Customer Growth,Cybersecurity,Cloud Advanced,Stage 2,232260,220353,67,76,87,Best Case,97,Yes
ACCT0221,Account 0221,Expansion Portfolio,Customer Growth,Logistics,Self-Hosted,Customer,504429,0,65,76,91,Closed,111,Yes
ACCT0222,Account 0222,Expansion Portfolio,Customer Growth,SaaS,Self-Hosted,Commit,256463,463894,66,63,64,Pipeline,114,Watch
ACCT0223,Account 0223,Expansion Portfolio,Customer Growth,Healthcare,Cloud Standard,Stage 2,627465,521469,92,75,50,Pipeline,95,Yes
ACCT0224,Account 0224,Expansion Portfolio,Customer Growth,Retail,Cloud Standard,Engaged,235145,367021,54,84,63,Pipeline,97,Watch
ACCT0225,Account 0225,Expansion Portfolio,Customer Growth,Healthcare,Cloud Advanced,Customer,206224,0,89,88,96,Pipeline,103,Yes
ACCT0226,Account 0226,Expansion Portfolio,Customer Growth,Fintech,Cloud Standard,Target,486253,0,89,94,56,Best Case,115,Yes
ACCT0227,Account 0227,Expansion Portfolio,Customer Growth,SaaS,Cloud Basic,Target,611768,0,73,89,53,Pipeline,98,Yes
ACCT0228,Account 0228,Expansion Portfolio,Customer Growth,Cybersecurity,Cloud Standard,Stage 2,621945,1173561,69,76,71,Closed,91,Yes
ACCT0229,Account 0229,Expansion Portfolio,Customer Growth,SaaS,Cloud Standard,Engaged,514012,642873,69,68,88,Pipeline,83,Yes
ACCT0230,Account 0230,Expansion Portfolio,Customer Growth,Logistics,Self-Hosted,Commit,374025,536032,96,70,53,Best Case,67,Yes
ACCT0231,Account 0231,Expansion Portfolio,Customer Growth,Fintech,Cloud Advanced,Stage 1,176198,321207,56,88,62,Best Case,90,Watch
ACCT0232,Account 0232,Expansion Portfolio,Customer Growth,SaaS,Cloud Advanced,Stage 3,655695,909745,67,95,88,Commit,65,Yes
ACCT0233,Account 0233,Expansion Portfolio,Customer Growth,SaaS,Cloud Basic,Stage 2,327148,426282,58,83,85,Commit,80,Watch
ACCT0234,Account 0234,Expansion Portfolio,Customer Growth,Media,Self-Hosted,Stage 1,230811,287584,56,88,51,Commit,92,Watch
ACCT0235,Account 0235,Expansion Portfolio,Customer Growth,Retail,BYOC Evaluation,Stage 3,509098,817452,61,73,85,Best Case,107,Watch
ACCT0236,Account 0236,Expansion Portfolio,Customer Growth,Healthcare,BYOC Evaluation,Stage 1,609107,1086322,55,61,77,Best Case,72,Watch
ACCT0237,Account 0237,Expansion Portfolio,Customer Growth,Retail,BYOC Evaluation,Engaged,351684,492279,55,71,87,Best Case,65,Watch
ACCT0238,Account 0238,Expansion Portfolio,Customer Growth,SaaS,Cloud Basic,Stage 1,348440,477557,77,94,45,Best Case,114,Yes
ACCT0239,Account 0239,Expansion Portfolio,Customer Growth,Media,Cloud Basic,Target,229744,0,52,60,69,Best Case,65,Watch
ACCT0240,Account 0240,Expansion Portfolio,Customer Growth,Gaming,Cloud Standard,Customer,160560,0,78,60,81,Closed,108,Watch
ACCT0241,Account 0241,Expansion Portfolio,Customer Growth,Gaming,Cloud Advanced,Stage 2,307965,354398,72,86,66,Pipeline,96,Yes
ACCT0242,Account 0242,Expansion Portfolio,Customer Growth,SaaS,Self-Hosted,Stage 1,192474,139983,62,58,90,Commit,96,Watch
ACCT0243,Account 0243,Expansion Portfolio,Customer Growth,SaaS,Cloud Standard,Stage 1,291104,324695,62,73,71,Renewal Risk,108,Yes
ACCT0244,Account 0244,Expansion Portfolio,Customer Growth,Fintech,Cloud Standard,Stage 3,132347,214305,90,84,81,Pipeline,68,Yes
ACCT0245,Account 0245,Expansion Portfolio,Customer Growth,Logistics,Self-Hosted,Stage 2,318979,506746,91,61,57,Pipeline,75,Watch
ACCT0246,Account 0246,Expansion Portfolio,Customer Growth,Media,BYOC Evaluation,Stage 3,491143,481808,56,90,60,Best Case,105,Watch
